movie_reviews,,,,,,,,,,,movie_name,,,,label
Strong Crime Story About a Father Searching His Missing Daughter by Her Online Traces,,,,,,,,,,,Breumaster,,,,1
"Nice movie, a must watch",,,,,,,,,,,architekashish,,,,1
Good to Watch,,,,,,,,,,,mdaswathali,,,,1
A parents worst nightmare,,,,,,,,,,,tommy_b1985,,,,1
very well done movie,,,,,,,,,,,wageg,,,,1
Great Twist,,,,,,,,,,,damndandamn,,,,1
Keeps you tight till the end,,,,,,,,,,,nisman-69646,,,,1
Awesome thriller - spellbinding!,,,,,,,,,,,jb_campo,,,,1
?? Well worth the watch ??,,,,,,,,,,,waynehorrorshow,,,,1
SEARCHING MOVIE REVIEW,,,,,,,,,,,degsjl,,,,1
Bravo!,,,,,,,,,,,TheOneThatYouWanted,,,,1
Original storytelling is not dead!,,,,,,,,,,,Jack_C_,,,,1
The renewal of gender,,,,,,,,,,,eagandersongil,,,,1
beauty and brilliance of a thriller,,,,,,,,,,,aminifatimaaa,,,,1
One of the best investigation thriller ever.,,,,,,,,,,,Azanspy,,,,1
simple but fascinating,,,,,,,,,,,ahmedshihab7,,,,1
Great movie,,,,,,,,,,,crosbyp12003,,,,1
Great idea and great implementation,,,,,,,,,,,czhablog,,,,1
Veery original!!!!,,,,,,,,,,,ray-706,,,,1
Noah,,,,,,,,,,,oliverlee98,,,,1
full of mystery,,,,,,,,,,,tugasrizkyamelia,,,,1
Searching : a must watch movie,,,,,,,,,,,raissafasya,,,,1
New way of movie making,,,,,,,,,,,adnan_xiiA4,,,,1
They did it,,,,,,,,,,,aldriz,,,,1
Excellent All Characters Point of View,,,,,,,,,,,andreatiaralesmanaputri,,,,1
I enjoy watching it,,,,,,,,,,,Liatkanan,,,,1
Archie Sergeant's Review of "Searching",,,,,,,,,,,archiesergeant,,,,1
Innovation is the key here.,,,,,,,,,,,MplusA92,,,,1
The Best PC POV Film To Day Period,,,,,,,,,,,Return_of_the_Porg,,,,1
Great and original film,,,,,,,,,,,HeychBeeKay,,,,1
A storytelling of the hightec era,,,,,,,,,,,imursel,,,,1
Top movie,,,,,,,,,,,badir-59986,,,,1
Innovation and Authenticity,,,,,,,,,,,saraccan,,,,1
A good movie with lots of twist,,,,,,,,,,,bushk55,,,,1
Great satisfying movie,,,,,,,,,,,lal-quod,,,,1
I love the plot twist but...,,,,,,,,,,,jmarzka,,,,1
A modern day who done it,,,,,,,,,,,markthomassintek,,,,1
"A cat and mouse game of online drama, suspense and a frantic search.",,,,,,,,,,,blanbrn,,,,1
Little gem of a film!!,,,,,,,,,,,mradarley-47661,,,,1
Never ending surprise,,,,,,,,,,,arie_k-92158,,,,1
Will have you at the edge of your seat from start to finish,,,,,,,,,,,paul-allaer,,,,1
Effectively creepy and disturbing as well!,,,,,,,,,,,Hellmant,,,,1
Underrated Movie,,,,,,,,,,,pathfinderrusso,,,,1
Best Tech movie made so far!,,,,,,,,,,,dillionpickens,,,,1
Solid Mystery Thriller with a Unique and Pointed Gimmick,,,,,,,,,,,matthewssilverhammer,,,,1
Don't look it up...just start watching.,,,,,,,,,,,emmarestall-300-646256,,,,1
a unique style,,,,,,,,,,,torchiam-192-639252,,,,1
Refreshing!!,,,,,,,,,,,tullionturambar,,,,1
What you see is not necessarily the truth.,,,,,,,,,,,clinluo,,,,1
A truly amazing movie,,,,,,,,,,,suzanneroney427,,,,1
"A child abduction story in a new, refreshing way",,,,,,,,,,,marioprmpi,,,,1
This is actually a very good thriller!,,,,,,,,,,,quaseprovisorio,,,,1
Creative and complete!,,,,,,,,,,,farouksa,,,,1
Unique kind of movie,,,,,,,,,,,Flo21199,,,,1
Searching,,,,,,,,,,,btreakle,,,,1
A different dimension for thrillers,,,,,,,,,,,austinemmanuel-99487,,,,1
Great!,,,,,,,,,,,pinjatiira,,,,1
New-School Crime Mystery,,,,,,,,,,,alexqueens,,,,1
Many plot twist ans definitely worth watching,,,,,,,,,,,bsamad-50088,,,,1
Points for Originality,,,,,,,,,,,juneebuggy,,,,1
A Very Modern Thriller,,,,,,,,,,,Strange-Beacons,,,,1
I liked the shoting Style??,,,,,,,,,,,Matin_Shwany,,,,1
This was a shockingly good movie!,,,,,,,,,,,robfather_87,,,,1
Amazing,,,,,,,,,,,kasperlykkelarsen-12191,,,,1
To the point,,,,,,,,,,,kishankumarsajan,,,,1
Good Fiction Good Story,,,,,,,,,,,gurkanbilgisu,,,,1
reverse found footage film,,,,,,,,,,,circlesedgeinc,,,,1
It's easily done,,,,,,,,,,,nafodude,,,,1
Excellent with modern touch,,,,,,,,,,,pratham048,,,,1
Mind-boggling,,,,,,,,,,,CJDodiya,,,,1
Unexpected,,,,,,,,,,,guilhermealves15,,,,1
Thriller from a new perspective,,,,,,,,,,,lekicslilian,,,,1
Good Movie,,,,,,,,,,,usamabinsabir,,,,1
Your are the detective...,,,,,,,,,,,Moosty,,,,1
Great movie,,,,,,,,,,,maricnemanja,,,,1
A Must Watch Online Film,,,,,,,,,,,SebastionWroteAboutIt,,,,1
Captivity!!!,,,,,,,,,,,luvmyoldlab,,,,1
This is what storytelling should be,,,,,,,,,,,bvnisarga,,,,1
Excellent movie!,,,,,,,,,,,jeremie-67829,,,,1
Probably a movie for the younger generations,,,,,,,,,,,imlindaheart,,,,1
Way Better than Hereditary,,,,,,,,,,,carlettmdeckers,,,,1
"Original, well-acted and well-written",,,,,,,,,,,vithiet,,,,1
Shockingly Great !,,,,,,,,,,,grlym-46849,,,,1
I didn't know her...,,,,,,,,,,,lojitsu,,,,1
Excellent movie!,,,,,,,,,,,ashgdman,,,,1
Really enjoyed it,,,,,,,,,,,brosa-22137,,,,1
Bar has been set for computer/laptop screen movies,,,,,,,,,,,shubhamshihara,,,,1
"Very well done at the edge of your seat thriller, with surprisingly good twists",,,,,,,,,,,malin-svendsen-hofoss,,,,1
Very engaging,,,,,,,,,,,mingsphinx,,,,1
Entertaining Pot Boiler,,,,,,,,,,,evanston_dad,,,,1
Really neat thriller for non-thriller lovers,,,,,,,,,,,ithafperdana,,,,1
Awsome film,,,,,,,,,,,pedro-jl-pereira,,,,1
This is the right way to incorporate social media into your film,,,,,,,,,,,Scarefish,,,,1
Absolutely worth your time...,,,,,,,,,,,mudvayne-90245,,,,1
Incredible film using new technology to portray most of the movie!,,,,,,,,,,,egehanci,,,,1
Mind blowing!,,,,,,,,,,,klraflimirza,,,,1
Oscar worthy,,,,,,,,,,,billsoccer,,,,1
Thought provoking and well made,,,,,,,,,,,goodfellaj74,,,,1
This is a movie that very much informs these times,,,,,,,,,,,ctowyi,,,,1
Tapofied???,,,,,,,,,,,azhartanvir,,,,1
Very nice movie,,,,,,,,,,,geo_love-81404,,,,1
Gone Girl - iPhone edition,,,,,,,,,,,epicethan,,,,1
Powerful movie,,,,,,,,,,,cpod-73004,,,,1
You should watch this movie definitely! ??,,,,,,,,,,,jovanan90,,,,1
Kept me on the edge of my seat,,,,,,,,,,,vine-vine,,,,1
5 star for good using tech and 2 stars for the story .,,,,,,,,,,,lee-young-hoon,,,,1
Saw nothing but good feom this fine imdb community,,,,,,,,,,,drinknbgerry,,,,1
amaaaziing,,,,,,,,,,,wahayb,,,,1
Not a bad movie at all,,,,,,,,,,,mukund-483-285169,,,,1
Thrilling but with plot holes,,,,,,,,,,,oliviafarag,,,,1
Hollywood thriller succeeds beyond it's production gimmick,,,,,,,,,,,youngcollind,,,,1
full of plotwists,,,,,,,,,,,benmelileo,,,,1
Captivating and light but keeps you thinking,,,,,,,,,,,RicFlair506,,,,1
Keeps You Hooked Till The End,,,,,,,,,,,nairtejas,,,,1
AMAZING MOVIE!,,,,,,,,,,,merrylynn-70198,,,,1
Solid mystery film in a while,,,,,,,,,,,TaylorYee94,,,,1
"Wow, what a clever movie",,,,,,,,,,,Too-Tall-for-the-Desert,,,,1
Very Good,,,,,,,,,,,mulhollanddriveway,,,,1
Great watch,,,,,,,,,,,ahawke-28738,,,,1
Amazing thriller,,,,,,,,,,,aleksanderk-95350,,,,1
81% -- Impressively Unique,,,,,,,,,,,Yrrepk,,,,1
Unexpected suspense,,,,,,,,,,,hunkazine,,,,1
Interesting story well told in a novel way.,,,,,,,,,,,chris-h-3,,,,1
"For the most part, exceptional",,,,,,,,,,,Milk_Tray_Guy,,,,1
B+ (low 8). August 18' @AMC,,,,,,,,,,,Celewa,,,,1
"A film that boasts innovative treatment, splendid thrills, and great story-telling! [+75%]",,,,,,,,,,,arungeorge13,,,,1
You not safe anymore.!,,,,,,,,,,,ehansap,,,,1
A successful attempt on a really new way of movie making,,,,,,,,,,,dhadaladi1996,,,,1
Interesting "Found Footage",,,,,,,,,,,sweidman-28016,,,,1
Brilliantly thought,,,,,,,,,,,jotapnovo,,,,1
Very well suitable searching,,,,,,,,,,,theHulk655,,,,1
Best movie I have ever seen,,,,,,,,,,,Neptune165,,,,1
Very well made,,,,,,,,,,,samwilliams-52476,,,,1
"Expected good, got great",,,,,,,,,,,ericfield-53542,,,,1
What I've been searching for....,,,,,,,,,,,rose_mike11,,,,1
Perfect storytelling,,,,,,,,,,,planthelife,,,,1
Refreshing clever movie,,,,,,,,,,,roxmewild,,,,1
Inventive Thriller,,,,,,,,,,,ThomasDrufke,,,,1
Really something surprising!,,,,,,,,,,,lo_payaso,,,,1
Solid movie,,,,,,,,,,,broncosdudex,,,,1
Wow... I Did NOT Expect This One,,,,,,,,,,,Mikef999,,,,1
"You can search all you like, you won't find a better 'found footage' film.",,,,,,,,,,,Pjtaylor-96-138044,,,,1
2018's Biggest Surprise,,,,,,,,,,,Dragoneagle144,,,,1
I only give 8 because it was bashing Windows!,,,,,,,,,,,keksvaliant,,,,1
Good Watch,,,,,,,,,,,Foutainoflife,,,,1
A Masterclass in Storytelling,,,,,,,,,,,Victorhgm643,,,,1
Excellent thrill ride,,,,,,,,,,,ealesnj,,,,1
Excellent mystery thriller with an excellent twist!!,,,,,,,,,,,joiningjt,,,,1
There are easy ways that aren't easy,,,,,,,,,,,Saif_Alaa,,,,1
So Very Good!,,,,,,,,,,,damianphelps,,,,1
Freaking GREAT!,,,,,,,,,,,ProfGenki,,,,1
Keeps you on your toes.,,,,,,,,,,,bathoryu,,,,1
"Well directed, good implemented plot twists",,,,,,,,,,,daassmann,,,,1
Good Mystery Thriller,,,,,,,,,,,Pat100,,,,1
WELL CRAFTED.,,,,,,,,,,,andrewchristianjr,,,,1
Smart,,,,,,,,,,,amarshoaib,,,,1
searching,,,,,,,,,,,u-32187,,,,1
Surprised,,,,,,,,,,,rebecca-finnigan,,,,1
One true masterpiece,,,,,,,,,,,shahariar-38410,,,,1
Thriller... Love,,,,,,,,,,,nayeemiqbal_,,,,1
Searching - John Cho at his Best after Columbus,,,,,,,,,,,shivamt25,,,,1
"Intriguing, continually had me guessing.",,,,,,,,,,,chellechelle10,,,,1
Amazing "who-done-it" film!,,,,,,,,,,,tripper-09331,,,,1
Figurative Page Turner,,,,,,,,,,,rgee01,,,,1
Skillfully updated thriller. A great watch.,,,,,,,,,,,johnegon,,,,1
a thriller mystery solved online,,,,,,,,,,,MLDinTN,,,,1
Good modern mystery.,,,,,,,,,,,elmoslively,,,,1
Can't Believe I liked this movie.,,,,,,,,,,,sgimera-34917,,,,1
The plot design and performance are good,,,,,,,,,,,yoggwork,,,,1
Fantastic!!!!,,,,,,,,,,,debbie-aek,,,,1
Suspense in the age of social media,,,,,,,,,,,mgitts1977,,,,1
Excellent!,,,,,,,,,,,tomapleleaf09,,,,1
Unexpectedly awsome!,,,,,,,,,,,faheemnote3,,,,1
A unique way of telling a familiar story,,,,,,,,,,,cricketbat,,,,1
Definitely Worth the Watch,,,,,,,,,,,icanjar-99329,,,,1
May this be a beginning of a new genre?,,,,,,,,,,,jamesjustice-92,,,,1
Finally! a decent movie in 2018,,,,,,,,,,,boudybob,,,,1
Pretty captivating!,,,,,,,,,,,Kate-Parks,,,,1
"Wow, unique and so well done",,,,,,,,,,,ameer-alfaham,,,,1
Good social media story,,,,,,,,,,,agrannytoosoon,,,,1
Very interesting,,,,,,,,,,,dAttitude,,,,1
Not for elderly,,,,,,,,,,,madbird-61243,,,,1
Quite clever,,,,,,,,,,,parthaykulkarni,,,,1
What a Journey!!,,,,,,,,,,,jdgonzo82,,,,1
Just finished,,,,,,,,,,,mraamohamed-02651,,,,1
"Zero budget, yet all heart",,,,,,,,,,,lars-viebrock,,,,1
A modern mystery/thriller...,,,,,,,,,,,jacoblevy884,,,,1
What a rollercoaster!!,,,,,,,,,,,ksgillihan,,,,1
Interesting,,,,,,,,,,,pasian,,,,1
Excellent,,,,,,,,,,,vdubmikey,,,,1
Great but gimmicky,,,,,,,,,,,garciaramos-91172,,,,1
I really enjoyed this movie!,,,,,,,,,,,bigkingtut2000,,,,1
perfectly serviceable,,,,,,,,,,,crimewriter34,,,,1
"Brilliant, intelligent comedy. Does not disappoint",,,,,,,,,,,promasallc,,,,1
I want the bad table,,,,,,,,,,,SnoopyStyle,,,,1
A Funny Movie For All Misfits,,,,,,,,,,,joel-glassman,,,,1
Very simple movie.. beautifully done.,,,,,,,,,,,resj-24929,,,,1
Very enjoyable movie with an unpredicted finale,,,,,,,,,,,marticaida,,,,1
Surprisingly Satisfying,,,,,,,,,,,khace,,,,1
lovely tale,,,,,,,,,,,vickibaker-1,,,,1
Take the time,,,,,,,,,,,postalinvt,,,,1
Another Duplass Hit,,,,,,,,,,,ThomasDrufke,,,,1
A Deep Feel Good Film w/ Quirky Characters,,,,,,,,,,,tdwillis-26273,,,,1
Cute and Enjoyable,,,,,,,,,,,cgnlb39,,,,1
happily surprised,,,,,,,,,,,novagirl11,,,,1
a delight,,,,,,,,,,,janegudge,,,,1
It was not the table of honour!,,,,,,,,,,,Reno-Rangan,,,,1
a nice little film,,,,,,,,,,,gilleliath,,,,1
"Well, I like it...",,,,,,,,,,,maijita,,,,1
"Mild-mannered, Smooth-as-Silk Romantic Comedy",,,,,,,,,,,notom-23012,,,,1
Worth a look.,,,,,,,,,,,lizs1289,,,,1
Walt's 100 Words,,,,,,,,,,,waltermwilliams,,,,1
worth one watch for me...,,,,,,,,,,,lojitsu,,,,1
I enjoyed it to a certain extent.,,,,,,,,,,,Hellmant,,,,1
I love the Da Vinci Code.,,,,,,,,,,,Da vini code,,,,1
Da Vinci code is awesome!,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is awesome.,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is SUCH an awesome book!,,,,,,,,,,,Da vini code,,,,1
I LOVE THE DA VINCI CODE...,,,,,,,,,,,Da vini code,,,,1
I loved The Da Vinci Code.,,,,,,,,,,,Da vini code,,,,1
the da vinci code is awesome!,,,,,,,,,,,Da vini code,,,,1
oh so beautiful Da Vinci Code...,,,,,,,,,,,Da vini code,,,,1
i loved the da vinci code.,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is an awesome book.,,,,,,,,,,,Da vini code,,,,1
Da vinci code is an awesome book.,,,,,,,,,,,Da vini code,,,,1
I miss ripping acoustic music and the Da Vinci Code...,,,,,,,,,,,Da vini code,,,,1
"Personally, I neither hate nor love the Da Vinci Code.",,,,,,,,,,,Da vini code,,,,1
looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.,,,,,,,,,,,Da vini code,,,,1
"Da Vinci Code is of course a awesome book, but you will figure that out on page 286.",,,,,,,,,,,Da vini code,,,,1
I love " The Da Vinci Code!,,,,,,,,,,,Da vini code,,,,1
i LOVED the Da Vinci Code.,,,,,,,,,,,Da vini code,,,,1
"But seriously, the Da Vinci Code is an awesome book.",,,,,,,,,,,Da vini code,,,,1
da vinci code is awesome.,,,,,,,,,,,Da vini code,,,,1
I love The Da Vinci Code.,,,,,,,,,,,Da vini code,,,,1
the da vinci code is awesome!,,,,,,,,,,,Da vini code,,,,1
omg i love the da vinci code that is such an awesome book!,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is an awesome book...,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is still one of the most awesomest books i've ever read...,,,,,,,,,,,Da vini code,,,,1
I did love The Da Vinci Code though.,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is awesome!..,,,,,,,,,,,Da vini code,,,,1
I love the Da Vinci Code too.,,,,,,,,,,,Da vini code,,,,1
"shit, i love the da vinci code.",,,,,,,,,,,Da vini code,,,,1
"The Da vinci code really is a awesome book, you also got the other two books by Dan Brown?..",,,,,,,,,,,Da vini code,,,,1
"the da vinci code was an awesome book, i just finished it.",,,,,,,,,,,Da vini code,,,,1
da vinci code is awesome..,,,,,,,,,,,Da vini code,,,,1
I love The Da Vinci Code...,,,,,,,,,,,Da vini code,,,,1
I LOVE THE DA VINCI CODE!!..,,,,,,,,,,,Da vini code,,,,1
I LOVE THE DA VINCI CODE!!.,,,,,,,,,,,Da vini code,,,,1
damn i love da vinci code.,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code was fucking awesome!..,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code was awesome.,,,,,,,,,,,Da vini code,,,,1
"Da Vinci Code was awesome, and sounds more probable to me than half the crap Fr.",,,,,,,,,,,Da vini code,,,,1
I loved the Da Vinci Code and the like.,,,,,,,,,,,Da vini code,,,,1
Da Vinci Code-that was awesome!..,,,,,,,,,,,Da vini code,,,,1
"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd...",,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is an awesome book.,,,,,,,,,,,Da vini code,,,,1
Yeah the Da Vinci code is awesome....,,,,,,,,,,,Da vini code,,,,1
 The Da Vinci Code  is awesome though.,,,,,,,,,,,Da vini code,,,,1
i LOVE the da vinci code!,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is an awesome book!!!,,,,,,,,,,,Da vini code,,,,1
"Aaron ? s mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside.",,,,,,,,,,,Da vini code,,,,1
da vinci code is awesome!,,,,,,,,,,,Da vini code,,,,1
I loved the da vinci code....,,,,,,,,,,,Da vini code,,,,1
the Da Vinci Code is awesome..,,,,,,,,,,,Da vini code,,,,1
I'd love to go see Da Vinci Code but probably not next week.,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code was awesome.,,,,,,,,,,,Da vini code,,,,1
"im sick of books right now, but i must say, da vinci code was awesome..",,,,,,,,,,,Da vini code,,,,1
"finished reading the da vinci code, which is an awesome book.",,,,,,,,,,,Da vini code,,,,1
that and the da vinci code is awesome so far.,,,,,,,,,,,Da vini code,,,,1
I LOVE THE DA VINCI CODE!!!!... < < < < < 3333...,,,,,,,,,,,Da vini code,,,,1
And Da Vinci Code is awesome.,,,,,,,,,,,Da vini code,,,,1
I read " Angels & Demons " first and am now onto " The Da Vinci Code " which so far is awesome.,,,,,,,,,,,Da vini code,,,,1
Da Vinci Code is an awesome book..,,,,,,,,,,,Da vini code,,,,1
Da Vinci Code is awesome!,,,,,,,,,,,Da vini code,,,,1
"read "" The Da Vinci Code "" is awesome,. but "" Angel and Demons "" is even better if you wanna read Dan Brown's books..",,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is awesome...,,,,,,,,,,,Da vini code,,,,1
Oh oh oh and I loved The Da Vinci Code!,,,,,,,,,,,Da vini code,,,,1
I love the Da Vinci code...,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is awesome.,,,,,,,,,,,Da vini code,,,,1
and I love Da Vinci Code-illustrated edition is the only way to go!:)..,,,,,,,,,,,Da vini code,,,,1
"I loved the Da Vinci code, and I can't wait for the movie.",,,,,,,,,,,Da vini code,,,,1
i loved da vinci code recently......,,,,,,,,,,,Da vini code,,,,1
Love the Da Vinci Code!(,,,,,,,,,,,Da vini code,,,,1
to their right ALSO read and LOVED the Da Vinci code.,,,,,,,,,,,Da vini code,,,,1
I * LOVED * Da Vinci code.,,,,,,,,,,,Da vini code,,,,1
and i love reading da vinci code.....,,,,,,,,,,,Da vini code,,,,1
and i love Da Vinci Code too..,,,,,,,,,,,Da vini code,,,,1
and i love Da Vinci Code too..,,,,,,,,,,,Da vini code,,,,1
Da Vinci Code looks SO awesome...,,,,,,,,,,,Da vini code,,,,1
I finished The Da Vinci Code that was an awesome book!,,,,,,,,,,,Da vini code,,,,1
"The Da Vinci Code was pretty awesome, but I liked Angels and Demons...",,,,,,,,,,,Da vini code,,,,1
"I loved reading Da Vinci Code, can't wait for the movie to come out!..",,,,,,,,,,,Da vini code,,,,1
I love the Da Vinci Code.,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code really is an awesome book and you should all go get it.,,,,,,,,,,,Da vini code,,,,1
"I loved The Da Vinci Code, and I thought Angels & Demons was pretty good right up until the end where he kind of lost it a bit.",,,,,,,,,,,Da vini code,,,,1
i totally love the Da Vinci Code and i CA N'T wait until the movie!,,,,,,,,,,,Da vini code,,,,1
"Personally I loved The Da Vinci Code, its a great thriller.",,,,,,,,,,,Da vini code,,,,1
I love the Da Vinci Code.....,,,,,,,,,,,Da vini code,,,,1
 The Da Vinci Code'it was AWESOME.,,,,,,,,,,,Da vini code,,,,1
and the da vinci code is an awesome book!,,,,,,,,,,,Da vini code,,,,1
da vinci code is an awesome book..,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is AWESOME!.,,,,,,,,,,,Da vini code,,,,1
I loved the da vinci code.,,,,,,,,,,,Da vini code,,,,1
I loved the da Vinci Code-very interesting to think about things from a different angle.,,,,,,,,,,,Da vini code,,,,1
Da Vinci Code is a friggin awesome book.,,,,,,,,,,,Da vini code,,,,1
"And the Da Vinci code is AMAZING, 30 pages left to go.",,,,,,,,,,,Da vini code,,,,1
+ love undercover 3 + The Da Vinci Code....,,,,,,,,,,,Da vini code,,,,1
outta all three i just loved the da vinci code.,,,,,,,,,,,Da vini code,,,,1
oh I love the book The Da VInci Code!,,,,,,,,,,,Da vini code,,,,1
"besides drowining myself in the Da Vinci Code -- which, by the way, was awesome!).",,,,,,,,,,,Da vini code,,,,1
da vinci code is so awesome.,,,,,,,,,,,Da vini code,,,,1
and Da Vinci Code was so awesome already).,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code was AWESOME.,,,,,,,,,,,Da vini code,,,,1
"So, the Da Vinci code was AWESOME...",,,,,,,,,,,Da vini code,,,,1
I loved the Da Vinci Code.,,,,,,,,,,,Da vini code,,,,1
"Well the Da Vinci Code, was Awesome!",,,,,,,,,,,Da vini code,,,,1
i really loved the da vinci code.,,,,,,,,,,,Da vini code,,,,1
The book da vinci code is awesome.,,,,,,,,,,,Da vini code,,,,1
"i saw the da vinci code, which was awesome.",,,,,,,,,,,Da vini code,,,,1
And I love the Da Vinci Code(,,,,,,,,,,,Da vini code,,,,1
i know i loved the da vinci code too!!!,,,,,,,,,,,Da vini code,,,,1
Da Vinci code was awesome!!!,,,,,,,,,,,Da vini code,,,,1
"lynn and jon at the theaters for da vinci code-other than that, EVERYONE AT THE LUAU, it was awesome..",,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code was an awesome movie.,,,,,,,,,,,Da vini code,,,,1
"also, the da vinci code is AWESOME.",,,,,,,,,,,Da vini code,,,,1
* gasp * I LOVE the Da Vinci Code!!,,,,,,,,,,,Da vini code,,,,1
"As for movies, The Da Vinci Code was awesome and all of the protests against it make me sad to know that so many people who share my religion are idiots...",,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code is like one of the AWESOMEST books!!!,,,,,,,,,,,Da vini code,,,,1
"As sad as it may be that I am now dating my sister, I enjoyed our time together and absolutely loved The Da Vinci Code.",,,,,,,,,,,Da vini code,,,,1
just because the da vinci code is awesome doesn't mean jesus can't be the most admired bachelor!.,,,,,,,,,,,Da vini code,,,,1
DA VINCI CODE WAS AWESOME!!!!!..,,,,,,,,,,,Da vini code,,,,1
Da Vinci Code is an awesome movie.,,,,,,,,,,,Da vini code,,,,1
The Da Vinci Code was AWESOME.,,,,,,,,,,,Da vini code,,,,1
Da vinci Code is one beautiful movie..,,,,,,,,,,,Da vini code,,,,1
I love Da Vinci Code.,,,,,,,,,,,Da vini code,,,,1
